Bene_Geo_Lvl,Bene_Geo_Desc,Bene_Geo_Cd,Bene_Age_Lvl,Bene_Demo_Lvl,Bene_Demo_Desc,Bene_Cond,Prvlnc,Year
National,National,NA,65+,Dual Status,Medicare Only,Autism Spectrum Disorders,1.00E-04,2015
National,National,NA,<65,Dual Status,Medicare Only,Autism Spectrum Disorders,0.0018,2015
National,National,NA,All,Dual Status,Medicare Only,Autism Spectrum Disorders,2.00E-04,2015
National,National,NA,65+,Dual Status,Medicare and Medicaid,Autism Spectrum Disorders,9.00E-04,2015
National,National,NA,<65,Dual Status,Medicare and Medicaid,Autism Spectrum Disorders,0.0165,2015
National,National,NA,All,Dual Status,Medicare and Medicaid,Autism Spectrum Disorders,0.0082,2015
National,National,NA,65+,Dual Status,Medicare Only,Autism Spectrum Disorders,1.00E-04,2016
National,National,NA,<65,Dual Status,Medicare Only,Autism Spectrum Disorders,0.0021,2016
National,National,NA,All,Dual Status,Medicare Only,Autism Spectrum Disorders,2.00E-04,2016
National,National,NA,65+,Dual Status,Medicare and Medicaid,Autism Spectrum Disorders,0.0011,2016
National,National,NA,<65,Dual Status,Medicare and Medicaid,Autism Spectrum Disorders,0.019,2016
National,National,NA,All,Dual Status,Medicare and Medicaid,Autism Spectrum Disorders,0.0094,2016
National,National,NA,65+,Dual Status,Medicare Only,Autism Spectrum Disorders,1.00E-04,2017
National,National,NA,<65,Dual Status,Medicare Only,Autism Spectrum Disorders,0.0024,2017
National,National,NA,All,Dual Status,Medicare Only,Autism Spectrum Disorders,3.00E-04,2017
National,National,NA,65+,Dual Status,Medicare and Medicaid,Autism Spectrum Disorders,0.0013,2017
National,National,NA,<65,Dual Status,Medicare and Medicaid,Autism Spectrum Disorders,0.0214,2017
National,National,NA,All,Dual Status,Medicare and Medicaid,Autism Spectrum Disorders,0.0105,2017
National,National,NA,65+,Dual Status,Medicare Only,Autism Spectrum Disorders,1.00E-04,2018
National,National,NA,<65,Dual Status,Medicare Only,Autism Spectrum Disorders,0.0029,2018
National,National,NA,All,Dual Status,Medicare Only,Autism Spectrum Disorders,3.00E-04,2018
National,National,NA,65+,Dual Status,Medicare and Medicaid,Autism Spectrum Disorders,0.0015,2018
National,National,NA,<65,Dual Status,Medicare and Medicaid,Autism Spectrum Disorders,0.0246,2018
National,National,NA,All,Dual Status,Medicare and Medicaid,Autism Spectrum Disorders,0.0119,2018
