Bene_Geo_Lvl,Bene_Geo_Desc,Bene_Geo_Cd,Bene_Age_Lvl,Bene_Demo_Lvl,Bene_Demo_Desc,Bene_Cond,Prvlnc
State,"District of Columbia",11,65+,Sex,Female,"Autism Spectrum Disorders",""
State,"District of Columbia",11,<65,Sex,Female,"Autism Spectrum Disorders",""
State,"District of Columbia",11,All,Sex,Female,"Autism Spectrum Disorders",""
State,"District of Columbia",11,65+,Sex,Male,"Autism Spectrum Disorders",""
State,"District of Columbia",11,<65,Sex,Male,"Autism Spectrum Disorders",""
State,"District of Columbia",11,All,Sex,Male,"Autism Spectrum Disorders",""
State,Florida,12,All,All,All,"Autism Spectrum Disorders",0.0004
State,Florida,12,65+,"Dual Status","Medicare Only","Autism Spectrum Disorders",0
State,Florida,12,<65,"Dual Status","Medicare Only","Autism Spectrum Disorders",0.0005
State,Florida,12,All,"Dual Status","Medicare Only","Autism Spectrum Disorders",0.0001
State,Florida,12,65+,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",0.0002
State,Florida,12,<65,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",0.0052
State,Florida,12,All,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",0.002
State,Florida,12,65+,Sex,Female,"Autism Spectrum Disorders",0
State,Florida,12,<65,Sex,Female,"Autism Spectrum Disorders",0.0015
State,Florida,12,All,Sex,Female,"Autism Spectrum Disorders",0.0002
State,Florida,12,65+,Sex,Male,"Autism Spectrum Disorders",0.0001
State,Florida,12,<65,Sex,Male,"Autism Spectrum Disorders",0.004
State,Florida,12,All,Sex,Male,"Autism Spectrum Disorders",0.0006
State,Georgia,13,All,All,All,"Autism Spectrum Disorders",0.0004
State,Georgia,13,65+,"Dual Status","Medicare Only","Autism Spectrum Disorders",0
State,Georgia,13,<65,"Dual Status","Medicare Only","Autism Spectrum Disorders",0.0004
State,Georgia,13,All,"Dual Status","Medicare Only","Autism Spectrum Disorders",0.0001
State,Georgia,13,65+,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",0.0002
State,Georgia,13,<65,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",0.0037
State,Georgia,13,All,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",0.0017
State,Georgia,13,65+,Sex,Female,"Autism Spectrum Disorders",0
State,Georgia,13,<65,Sex,Female,"Autism Spectrum Disorders",0.0009
State,Georgia,13,All,Sex,Female,"Autism Spectrum Disorders",0.0002
State,Georgia,13,65+,Sex,Male,"Autism Spectrum Disorders",0.0001
State,Georgia,13,<65,Sex,Male,"Autism Spectrum Disorders",0.003
State,Georgia,13,All,Sex,Male,"Autism Spectrum Disorders",0.0007
State,Hawaii,15,All,All,All,"Autism Spectrum Disorders",0.0005
State,Hawaii,15,65+,"Dual Status","Medicare Only","Autism Spectrum Disorders",""
State,Hawaii,15,<65,"Dual Status","Medicare Only","Autism Spectrum Disorders",""
State,Hawaii,15,All,"Dual Status","Medicare Only","Autism Spectrum Disorders",""
State,Hawaii,15,65+,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",""
State,Hawaii,15,<65,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",""
State,Hawaii,15,All,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",""
State,Hawaii,15,65+,Sex,Female,"Autism Spectrum Disorders",""
State,Hawaii,15,<65,Sex,Female,"Autism Spectrum Disorders",""
State,Hawaii,15,All,Sex,Female,"Autism Spectrum Disorders",0.0002
State,Hawaii,15,65+,Sex,Male,"Autism Spectrum Disorders",""
State,Hawaii,15,<65,Sex,Male,"Autism Spectrum Disorders",""
State,Hawaii,15,All,Sex,Male,"Autism Spectrum Disorders",0.0009
State,Idaho,16,All,All,All,"Autism Spectrum Disorders",0.001
State,Idaho,16,65+,"Dual Status","Medicare Only","Autism Spectrum Disorders",""
State,Idaho,16,<65,"Dual Status","Medicare Only","Autism Spectrum Disorders",""
State,Idaho,16,All,"Dual Status","Medicare Only","Autism Spectrum Disorders",""
State,Idaho,16,65+,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",""
State,Idaho,16,<65,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",""
State,Idaho,16,All,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",""
State,Idaho,16,65+,Sex,Female,"Autism Spectrum Disorders",""
State,Idaho,16,<65,Sex,Female,"Autism Spectrum Disorders",""
State,Idaho,16,All,Sex,Female,"Autism Spectrum Disorders",0.0005
State,Idaho,16,65+,Sex,Male,"Autism Spectrum Disorders",""
State,Idaho,16,<65,Sex,Male,"Autism Spectrum Disorders",""
State,Idaho,16,All,Sex,Male,"Autism Spectrum Disorders",0.0014
State,Illinois,17,All,All,All,"Autism Spectrum Disorders",0.0008
State,Illinois,17,65+,"Dual Status","Medicare Only","Autism Spectrum Disorders",0
State,Illinois,17,<65,"Dual Status","Medicare Only","Autism Spectrum Disorders",0.0008
State,Illinois,17,All,"Dual Status","Medicare Only","Autism Spectrum Disorders",0.0001
State,Illinois,17,65+,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",0.0004
State,Illinois,17,<65,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",0.0089
State,Illinois,17,All,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",0.0044
State,Illinois,17,65+,Sex,Female,"Autism Spectrum Disorders",0
State,Illinois,17,<65,Sex,Female,"Autism Spectrum Disorders",0.0028
State,Illinois,17,All,Sex,Female,"Autism Spectrum Disorders",0.0004
State,Illinois,17,65+,Sex,Male,"Autism Spectrum Disorders",0.0001
State,Illinois,17,<65,Sex,Male,"Autism Spectrum Disorders",0.008
State,Illinois,17,All,Sex,Male,"Autism Spectrum Disorders",0.0014
State,Indiana,18,All,All,All,"Autism Spectrum Disorders",0.001
State,Indiana,18,65+,"Dual Status","Medicare Only","Autism Spectrum Disorders",0
State,Indiana,18,<65,"Dual Status","Medicare Only","Autism Spectrum Disorders",0.0008
State,Indiana,18,All,"Dual Status","Medicare Only","Autism Spectrum Disorders",0.0001
State,Indiana,18,65+,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",0.0004
State,Indiana,18,<65,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",0.0101
State,Indiana,18,All,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",0.0053
State,Indiana,18,65+,Sex,Female,"Autism Spectrum Disorders",0
State,Indiana,18,<65,Sex,Female,"Autism Spectrum Disorders",0.003
State,Indiana,18,All,Sex,Female,"Autism Spectrum Disorders",0.0005
State,Indiana,18,65+,Sex,Male,"Autism Spectrum Disorders",0.0001
State,Indiana,18,<65,Sex,Male,"Autism Spectrum Disorders",0.0083
State,Indiana,18,All,Sex,Male,"Autism Spectrum Disorders",0.0017
State,Iowa,19,All,All,All,"Autism Spectrum Disorders",0.0011
State,Iowa,19,65+,"Dual Status","Medicare Only","Autism Spectrum Disorders",""
State,Iowa,19,<65,"Dual Status","Medicare Only","Autism Spectrum Disorders",""
State,Iowa,19,All,"Dual Status","Medicare Only","Autism Spectrum Disorders",0.0001
State,Iowa,19,65+,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",""
State,Iowa,19,<65,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",""
State,Iowa,19,All,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",0.0062
State,Iowa,19,65+,Sex,Female,"Autism Spectrum Disorders",""
State,Iowa,19,<65,Sex,Female,"Autism Spectrum Disorders",""
State,Iowa,19,All,Sex,Female,"Autism Spectrum Disorders",0.0005
State,Iowa,19,65+,Sex,Male,"Autism Spectrum Disorders",""
State,Iowa,19,<65,Sex,Male,"Autism Spectrum Disorders",""
State,Iowa,19,All,Sex,Male,"Autism Spectrum Disorders",0.0018
State,Kansas,20,All,All,All,"Autism Spectrum Disorders",0.0011
State,Kansas,20,65+,"Dual Status","Medicare Only","Autism Spectrum Disorders",""
State,Kansas,20,<65,"Dual Status","Medicare Only","Autism Spectrum Disorders",""
State,Kansas,20,All,"Dual Status","Medicare Only","Autism Spectrum Disorders",0.0001
State,Kansas,20,65+,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",""
State,Kansas,20,<65,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",""
State,Kansas,20,All,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",0.0065
State,Kansas,20,65+,Sex,Female,"Autism Spectrum Disorders",0.0001
State,Kansas,20,<65,Sex,Female,"Autism Spectrum Disorders",0.0039
State,Kansas,20,All,Sex,Female,"Autism Spectrum Disorders",0.0005
State,Kansas,20,65+,Sex,Male,"Autism Spectrum Disorders",0.0001
State,Kansas,20,<65,Sex,Male,"Autism Spectrum Disorders",0.0104
State,Kansas,20,All,Sex,Male,"Autism Spectrum Disorders",0.0018
State,Kentucky,21,All,All,All,"Autism Spectrum Disorders",0.0005
State,Kentucky,21,65+,"Dual Status","Medicare Only","Autism Spectrum Disorders",""
State,Kentucky,21,<65,"Dual Status","Medicare Only","Autism Spectrum Disorders",""
State,Kentucky,21,All,"Dual Status","Medicare Only","Autism Spectrum Disorders",0.0001
State,Kentucky,21,65+,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",""
State,Kentucky,21,<65,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",""
State,Kentucky,21,All,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",0.0018
State,Kentucky,21,65+,Sex,Female,"Autism Spectrum Disorders",""
State,Kentucky,21,<65,Sex,Female,"Autism Spectrum Disorders",""
State,Kentucky,21,All,Sex,Female,"Autism Spectrum Disorders",0.0003
State,Kentucky,21,65+,Sex,Male,"Autism Spectrum Disorders",""
State,Kentucky,21,<65,Sex,Male,"Autism Spectrum Disorders",""
State,Kentucky,21,All,Sex,Male,"Autism Spectrum Disorders",0.0008
State,Louisiana,22,All,All,All,"Autism Spectrum Disorders",0.0007
State,Louisiana,22,65+,"Dual Status","Medicare Only","Autism Spectrum Disorders",""
State,Louisiana,22,<65,"Dual Status","Medicare Only","Autism Spectrum Disorders",""
State,Louisiana,22,All,"Dual Status","Medicare Only","Autism Spectrum Disorders",0.0001
State,Louisiana,22,65+,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",""
State,Louisiana,22,<65,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",""
State,Louisiana,22,All,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",0.002
State,Louisiana,22,65+,Sex,Female,"Autism Spectrum Disorders",""
State,Louisiana,22,<65,Sex,Female,"Autism Spectrum Disorders",""
State,Louisiana,22,All,Sex,Female,"Autism Spectrum Disorders",0.0004
State,Louisiana,22,65+,Sex,Male,"Autism Spectrum Disorders",""
State,Louisiana,22,<65,Sex,Male,"Autism Spectrum Disorders",""
State,Louisiana,22,All,Sex,Male,"Autism Spectrum Disorders",0.001
State,Maine,23,All,All,All,"Autism Spectrum Disorders",0.0012
State,Maine,23,65+,"Dual Status","Medicare Only","Autism Spectrum Disorders",""
State,Maine,23,<65,"Dual Status","Medicare Only","Autism Spectrum Disorders",""
State,Maine,23,All,"Dual Status","Medicare Only","Autism Spectrum Disorders",""
State,Maine,23,65+,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",""
State,Maine,23,<65,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",""
State,Maine,23,All,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",""
State,Maine,23,65+,Sex,Female,"Autism Spectrum Disorders",""
State,Maine,23,<65,Sex,Female,"Autism Spectrum Disorders",""
State,Maine,23,All,Sex,Female,"Autism Spectrum Disorders",0.0006
State,Maine,23,65+,Sex,Male,"Autism Spectrum Disorders",""
State,Maine,23,<65,Sex,Male,"Autism Spectrum Disorders",""
State,Maine,23,All,Sex,Male,"Autism Spectrum Disorders",0.002
State,Maryland,24,All,All,All,"Autism Spectrum Disorders",0.0007
State,Maryland,24,65+,"Dual Status","Medicare Only","Autism Spectrum Disorders",0
State,Maryland,24,<65,"Dual Status","Medicare Only","Autism Spectrum Disorders",0.0006
State,Maryland,24,All,"Dual Status","Medicare Only","Autism Spectrum Disorders",0.0001
State,Maryland,24,65+,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",0.0004
State,Maryland,24,<65,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",0.0089
State,Maryland,24,All,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",0.0041
State,Maryland,24,65+,Sex,Female,"Autism Spectrum Disorders",0
State,Maryland,24,<65,Sex,Female,"Autism Spectrum Disorders",0.0022
State,Maryland,24,All,Sex,Female,"Autism Spectrum Disorders",0.0003
State,Maryland,24,65+,Sex,Male,"Autism Spectrum Disorders",0.0001
State,Maryland,24,<65,Sex,Male,"Autism Spectrum Disorders",0.0067
State,Maryland,24,All,Sex,Male,"Autism Spectrum Disorders",0.0012
State,Massachusetts,25,All,All,All,"Autism Spectrum Disorders",0.0016
State,Massachusetts,25,65+,"Dual Status","Medicare Only","Autism Spectrum Disorders",0.0001
State,Massachusetts,25,<65,"Dual Status","Medicare Only","Autism Spectrum Disorders",0.0013
State,Massachusetts,25,All,"Dual Status","Medicare Only","Autism Spectrum Disorders",0.0002
State,Massachusetts,25,65+,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",0.0006
State,Massachusetts,25,<65,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",0.0098
State,Massachusetts,25,All,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",0.0053
State,Massachusetts,25,65+,Sex,Female,"Autism Spectrum Disorders",0.0001
State,Massachusetts,25,<65,Sex,Female,"Autism Spectrum Disorders",0.0038
State,Massachusetts,25,All,Sex,Female,"Autism Spectrum Disorders",0.0007
State,Massachusetts,25,65+,Sex,Male,"Autism Spectrum Disorders",0.0002
State,Massachusetts,25,<65,Sex,Male,"Autism Spectrum Disorders",0.0111
State,Massachusetts,25,All,Sex,Male,"Autism Spectrum Disorders",0.0028
State,Michigan,26,All,All,All,"Autism Spectrum Disorders",0.0009
State,Michigan,26,65+,"Dual Status","Medicare Only","Autism Spectrum Disorders",0
State,Michigan,26,<65,"Dual Status","Medicare Only","Autism Spectrum Disorders",0.0005
State,Michigan,26,All,"Dual Status","Medicare Only","Autism Spectrum Disorders",0.0001
State,Michigan,26,65+,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",0.0005
State,Michigan,26,<65,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",0.0081
State,Michigan,26,All,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",0.0044
State,Michigan,26,65+,Sex,Female,"Autism Spectrum Disorders",0
State,Michigan,26,<65,Sex,Female,"Autism Spectrum Disorders",0.0026
State,Michigan,26,All,Sex,Female,"Autism Spectrum Disorders",0.0005
State,Michigan,26,65+,Sex,Male,"Autism Spectrum Disorders",0.0001
State,Michigan,26,<65,Sex,Male,"Autism Spectrum Disorders",0.0063
State,Michigan,26,All,Sex,Male,"Autism Spectrum Disorders",0.0015
State,Minnesota,27,All,All,All,"Autism Spectrum Disorders",0.0018
State,Minnesota,27,65+,"Dual Status","Medicare Only","Autism Spectrum Disorders",""
State,Minnesota,27,<65,"Dual Status","Medicare Only","Autism Spectrum Disorders",""
State,Minnesota,27,All,"Dual Status","Medicare Only","Autism Spectrum Disorders",0.0001
State,Minnesota,27,65+,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",""
State,Minnesota,27,<65,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",""
State,Minnesota,27,All,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",0.0112
State,Minnesota,27,65+,Sex,Female,"Autism Spectrum Disorders",""
State,Minnesota,27,<65,Sex,Female,"Autism Spectrum Disorders",""
State,Minnesota,27,All,Sex,Female,"Autism Spectrum Disorders",0.0008
State,Minnesota,27,65+,Sex,Male,"Autism Spectrum Disorders",""
State,Minnesota,27,<65,Sex,Male,"Autism Spectrum Disorders",""
State,Minnesota,27,All,Sex,Male,"Autism Spectrum Disorders",0.0031
State,Mississippi,28,All,All,All,"Autism Spectrum Disorders",0.0003
State,Mississippi,28,65+,"Dual Status","Medicare Only","Autism Spectrum Disorders",""
State,Mississippi,28,<65,"Dual Status","Medicare Only","Autism Spectrum Disorders",""
State,Mississippi,28,All,"Dual Status","Medicare Only","Autism Spectrum Disorders",0.0001
State,Mississippi,28,65+,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",""
State,Mississippi,28,<65,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",""
State,Mississippi,28,All,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",0.0009
State,Mississippi,28,65+,Sex,Female,"Autism Spectrum Disorders",""
State,Mississippi,28,<65,Sex,Female,"Autism Spectrum Disorders",""
State,Mississippi,28,All,Sex,Female,"Autism Spectrum Disorders",0.0002
State,Mississippi,28,65+,Sex,Male,"Autism Spectrum Disorders",""
State,Mississippi,28,<65,Sex,Male,"Autism Spectrum Disorders",""
State,Mississippi,28,All,Sex,Male,"Autism Spectrum Disorders",0.0005
State,Missouri,29,All,All,All,"Autism Spectrum Disorders",0.001
State,Missouri,29,65+,"Dual Status","Medicare Only","Autism Spectrum Disorders",""
State,Missouri,29,<65,"Dual Status","Medicare Only","Autism Spectrum Disorders",""
State,Missouri,29,All,"Dual Status","Medicare Only","Autism Spectrum Disorders",0.0001
State,Missouri,29,65+,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",""
State,Missouri,29,<65,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",""
State,Missouri,29,All,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",0.0045
State,Missouri,29,65+,Sex,Female,"Autism Spectrum Disorders",0
State,Missouri,29,<65,Sex,Female,"Autism Spectrum Disorders",0.003
State,Missouri,29,All,Sex,Female,"Autism Spectrum Disorders",0.0005
State,Missouri,29,65+,Sex,Male,"Autism Spectrum Disorders",0.0001
State,Missouri,29,<65,Sex,Male,"Autism Spectrum Disorders",0.0073
State,Missouri,29,All,Sex,Male,"Autism Spectrum Disorders",0.0017
State,Montana,30,All,All,All,"Autism Spectrum Disorders",0.001
State,Montana,30,65+,"Dual Status","Medicare Only","Autism Spectrum Disorders",""
State,Montana,30,<65,"Dual Status","Medicare Only","Autism Spectrum Disorders",""
State,Montana,30,All,"Dual Status","Medicare Only","Autism Spectrum Disorders",0.0001
State,Montana,30,65+,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",""
State,Montana,30,<65,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",""
State,Montana,30,All,"Dual Status","Medicare and Medicaid","Autism Spectrum Disorders",0.0057
State,Montana,30,65+,Sex,Female,"Autism Spectrum Disorders",""
